urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-ksos:1.0:base:station1:village1:adc0,urn:ogc:def:parameter:x-ksos:1.0:base:station1:village1:air_temperature
2014-02-26T09:47:38.415145+05:30,80,25.78125
2014-02-26T10:03:39.795898+05:30,80,25.78125
2014-02-26T10:19:41.136534+05:30,82,26.42578125
2014-02-26T10:35:42.241758+05:30,83,26.74804688
2014-02-26T10:51:43.499307+05:30,84,27.0703125
2014-02-26T11:07:44.671948+05:30,85,27.39257813
2014-02-26T11:23:45.608892+05:30,87,28.03710938
2014-02-26T11:39:46.723419+05:30,88,28.359375
2014-02-26T11:55:47.829580+05:30,90,29.00390625
2014-02-26T12:11:48.875774+05:30,89,28.68164063
2014-02-26T12:27:49.946094+05:30,92,29.6484375
2014-02-26T12:43:51.090370+05:30,89,28.68164063
2014-02-26T12:59:52.342581+05:30,91,29.32617188
2014-02-26T13:15:54.113621+05:30,93,29.97070313
2014-02-26T13:31:55.103947+05:30,95,30.61523438
2014-02-26T13:47:56.435587+05:30,94,30.29296875
2014-02-26T14:03:57.523592+05:30,95,30.61523438
2014-02-26T14:19:58.712499+05:30,95,30.61523438
2014-02-26T14:35:59.547175+05:30,94,30.29296875
2014-02-26T14:52:00.943849+05:30,95,30.61523438
2014-02-26T15:08:02.574096+05:30,96,30.9375
2014-02-26T15:24:04.757050+05:30,94,30.29296875
2014-02-26T15:40:06.205874+05:30,95,30.61523438
2014-02-26T15:56:07.359142+05:30,95,30.61523438
2014-02-26T16:12:08.570584+05:30,94,30.29296875
2014-02-26T16:28:09.508032+05:30,86,27.71484375
2014-02-26T16:44:10.689992+05:30,90,29.00390625
2014-02-26T17:00:11.684783+05:30,90,29.00390625
2014-02-26T17:16:12.830430+05:30,89,28.68164063
2014-02-26T17:32:14.278263+05:30,83,26.74804688
2014-02-26T17:48:15.517248+05:30,80,25.78125
2014-02-26T18:04:16.820358+05:30,79,25.45898438
2014-02-26T18:20:17.967773+05:30,78,25.13671875
2014-02-26T18:36:18.924066+05:30,76,24.4921875
2014-02-26T18:52:21.849415+05:30,75,24.16992188
2014-02-26T19:08:22.936368+05:30,74,23.84765625
2014-02-26T19:24:24.671854+05:30,72,23.203125
2014-02-26T19:40:25.762544+05:30,71,22.88085938
2014-02-26T19:56:26.295018+05:30,73,23.52539063
2014-02-26T20:12:27.402801+05:30,69,22.23632813
2014-02-26T20:28:28.442313+05:30,72,23.203125
2014-02-26T20:44:29.375629+05:30,70,22.55859375
2014-02-26T21:00:30.448613+05:30,68,21.9140625
2014-02-26T21:16:31.971099+05:30,68,21.9140625
2014-02-26T21:32:33.214484+05:30,65,20.94726563
2014-02-26T21:48:34.701933+05:30,69,22.23632813
2014-02-26T22:04:35.934267+05:30,62,19.98046875
2014-02-26T22:20:37.056913+05:30,62,19.98046875
2014-02-26T22:36:38.181787+05:30,61,19.65820313
2014-02-26T22:52:39.430142+05:30,60,19.3359375
2014-02-26T23:08:40.727630+05:30,60,19.3359375
2014-02-26T23:24:42.541341+05:30,59,19.01367188
2014-02-26T23:40:43.805394+05:30,58,18.69140625
2014-02-26T23:56:44.909478+05:30,57,18.36914063
2014-02-27T00:12:45.995784+05:30,56,18.046875
2014-02-27T00:28:47.036646+05:30,57,18.36914063
2014-02-27T00:44:48.082441+05:30,59,19.01367188
2014-02-27T01:00:49.399500+05:30,61,19.65820313
2014-02-27T01:16:50.793413+05:30,60,19.3359375
2014-02-27T01:32:52.022292+05:30,60,19.3359375
2014-02-27T01:48:53.060864+05:30,62,19.98046875
2014-02-27T02:04:54.290513+05:30,63,20.30273438
2014-02-27T02:20:55.188447+05:30,60,19.3359375
2014-02-27T02:36:56.509256+05:30,62,19.98046875
2014-02-27T02:52:57.587390+05:30,61,19.65820313
2014-02-27T03:08:58.736172+05:30,61,19.65820313
2014-02-27T03:24:59.924644+05:30,61,19.65820313
2014-02-27T03:41:01.137967+05:30,60,19.3359375
2014-02-27T03:57:02.455451+05:30,59,19.01367188
2014-02-27T04:13:03.679551+05:30,59,19.01367188
2014-02-27T04:29:04.873861+05:30,63,20.30273438
2014-02-27T04:45:05.913686+05:30,59,19.01367188
2014-02-27T05:01:07.435060+05:30,58,18.69140625
2014-02-27T05:17:08.495035+05:30,58,18.69140625
2014-02-27T05:33:09.637937+05:30,57,18.36914063
2014-02-27T05:49:10.543412+05:30,58,18.69140625
2014-02-27T06:05:11.566254+05:30,55,17.72460938
2014-02-27T06:21:12.827319+05:30,55,17.72460938
2014-02-27T06:37:14.087272+05:30,54,17.40234375
2014-02-27T06:53:15.241353+05:30,54,17.40234375
2014-02-27T07:09:18.485368+05:30,57,18.36914063
2014-02-27T07:25:19.570505+05:30,64,20.625
2014-02-27T07:41:20.679738+05:30,69,22.23632813
2014-02-27T07:57:21.762813+05:30,73,23.52539063
2014-02-27T08:13:23.021980+05:30,76,24.4921875
2014-02-27T08:29:24.274951+05:30,78,25.13671875
2014-02-27T08:45:25.390615+05:30,72,23.203125
2014-02-27T09:01:26.548545+05:30,74,23.84765625
2014-02-27T09:17:28.382690+05:30,83,26.74804688
2014-02-27T09:33:29.597343+05:30,80,25.78125
